semaine_conf_interv;dpt;tub;cat_au_det;nb_indiv_foy_agreg;nb_indiv_foy18_agreg;evol_nb_indiv;tranche_age;sexe;age_sexe;etude;sit_prof;prof_sante;csp_1;csp_quotas;indep_affil;nb_enf_mat;nb_enf_prim;nb_enf_col;nb_enf_lyc;nb_enf_ensup;nb_enf_agreg2;niveau_vie;sit_prof_conf_net;sit_prof_conf.18_emploi_lt;sit_prof_conf.18_teleW;sit_prof_conf.18_enf;sit_prof_conf.18_chompart;sit_prof_conf.18_chomcomp;sit_prof_conf.18_rtt;sit_prof_conf.18_etud;sit_prof_conf.18_pasdact;sit_prof_conf.18_nsp;sit_prof_conf.18_arret;internet;quali_admin;quali_video;quali_jouer;quali_admin_conf;quali_video_conf;quali_jouer_conf;nb_ordi_agreg;nb_tab_agreg;nb_smartphone_agreg;nb_smartphone_wifi_agreg;nb_imp_scan_agreg;nb_console_agreg;usage_ordi;usage_tab;usage_smartphone;usage_smartphone_wifi;usage_imp_scan;usage_console;nvx_ordi;nvx_tab;nvx_smartphone;nvx_smartphone_wifi;nvx_imp_scan;nvx_console;source_nvx_ordi;source_nvx_tab;source_nvx_smartphone;source_nvx_smartphone_wifi;source_nvx_imp_scan;source_nvx_console;internaute;freq_email;freq_rs;freq_googler;freq_partaGinfo;Freq_jouer;Freq_video;do_courses;do_com_a_manger;do_soclariT;do_RDVmed;do_infoCOV;do_consult_doc;do_banq;do_CAF;do_CPAM;do_ANPE;capa_courses;capa_com_a_manger;capa_soclariT;capa_RDVmed;capa_infoCOV;capa_consult_doc;capa_banq;capa_CAF;capa_CPAM;capa_ANPE;diffi_CAF;diffi_CPAM;diffi_ANPE;num_renonce;aide_num_proche;aide_num_servass;aide_num_numvert;aide_num_renonce;aide_num_seul;aide_num_nc;improve_num;sans_int_1;sans_int_2;sans_int_3;sans_int_4;sans_int_5;sans_int_6;attest_covid;int_appli;inspi_appli;teleW;freq_visio;evol_visio;freq_msg_instant;evol_msg_instant;out_collab;evol_out_cllab;teleW_efficace;teleW_augm;teleW_priv_pub;teleW_continu;implic_scolariT;accomp_scolariT;accomp_scolariT_dist;rais_pas_accomp;PM_freq_conf_prof;PM_freq_conf_parent;PM_.freq_conf_orient;PM_freq_hc_prof;PM_freq_hc_parent;PM_freq_hc_orient;CL_freq_conf_prof;CL_freq_conf_parent;CL_.freq_conf_orient;CL_freq_hc_prof;CL_freq_hc_parent;CL_freq_hc_orient;PM_cours;PM_motiv;PM_eval;PM_visio;PM_jeux;PM_hc_cours;PM_hc_motiv;PM_hc_eval;PM_hc_visio;PM_hc_jeux;CL_cours;CL_motiv;CL_eval;CL_visio;CL_jeux;CL_hc_cours;CL_hc_motiv;CL_hc_eval;CL_hc_visio;CL_hc_jeux;contact_ens;diff_techno;diff_techno_det_abo;diff_techno_det_debit;diff_techno_det_absequi;diff_techno_det_diffequi;diff_techno_det_diffoutils;diff_techno_det_ress;diff_scol;diff_scol_det_absens;diff_scol_det_orgadom;diff_scol_det_langue;diff_scol_det_suivi;diff_scol_det_diffapp;diff_scol_det_demotiv;resol_diff;resol_diff_moy_contact_ens;resol_diff_moy_papier_ens;resol_diff_moy_equifournis;resol_diff_moy_entourage;resol_diff_moy_mediateurs;solid_fam;solid.fam_expl_impr;solid.fam_expl_voisin;solid.fam_expl_asso;solid.fam_expl_tech;solid.fam_expl_moral;solid_eleve;ress1_scolariT_libres;ress1_scolariT_rsn;ress1_scolariT_gafam;ress1_scolariT_visio;ress1_scolariT_edtech;ress1_scolariT_tvradio;ress1_scolariT_aucun;ress2_scolariT_educt;ress2_scolariT_ens;ress2_scolariT_soimeme;ress2_scolariT_enfant;ress2_scolariT_parent;ress2_scolariT_aucune;compet_num_scolariT;addict_som;delais_RS;delais_email;delais_actu;deconection;privi_act_ligne;peur_1;peur_2;peur_3;peur_4;poids_par_ech_tryom
S7;29;0 - rurale;commune de la couronne d'un moyen pôle;3;3;est resté stable;45 à 59 ans;Homme;Homme - 45 à 59 ans;Bac +1 ou +2;en emploi (éventuellement en chômage partiel);0;Cadres et professions intellectuelles supérieures, professions libérales;Cadres, professions libérales;;0;0;1;0;1;0;Vous avez une vie confortable;en emploi en télétravail;0;0;0;0;0;0;0;0;0;0;4G;;;;;;;2;1;0;1;1;1;vous partagez et cela ne pose pas de problème;vous partagez et cela ne pose pas de problème;;vous ne l'utilisez pas;vous partagez et cela ne pose pas de problème;vous ne l'utilisez pas;non;non;;non;non;non;;;;;;;oui;Plusieurs fois par jour;Jamais ou non concerné par cette tâche;Plusieurs fois par jour;Jamais ou non concerné par cette tâche;jamais;de 1h à 3h;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;Ne le fait pas avec le numérique;Ne le fait pas avec le numérique;Ne le fait pas avec le numérique;Ne le fait pas avec le numérique;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;Fait avec le numérique et le faisait déjà avant;Fait avec le numérique et le faisait déjà avant;;;j'éprouve quelques difficultés;Ne sait pas (Ne pas citer);je sais le faire sans difficulté;Ne sait pas (Ne pas citer);Ne sait pas (Ne pas citer);Ne sait pas (Ne pas citer);Ne sait pas (Ne pas citer);Ne sait pas (Ne pas citer);;;;non ce n'est pas la raison;0;1;0;0;0;1;oui;;;;;;;vous la rédigez manuellement ou vous en découpez une dans le jourl;oui;de l'espoir;moins d'1 fois par mois;tous les jours;augmentée;tous les jours;augmentée;tous les jours;augmentée;d'être plus efficace dans votre travail que d'habitude;autant de travail;tout à fait;plusieurs fois par mois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jamais;non concerné;30mn à 1h;non concerné;moins d'1 fois par jour;jamais;plutôt pas d'accord;pas du tout d'accord;plutôt d'accord;d'être plus connecté que d'habitude;0,707055057
S6;29;1 - 2 000 à 4 999 habitants;autre commune multipolarisée;2;2;est resté stable;60 à 74 ans;Homme;Homme - 60 à 74 ans;Bac, brevet professionnel ou équivalent;en retraite;0;Cadres et professions intellectuelles supérieures, professions libérales;Retraités;;0;0;0;0;0;0;Vous avez une vie confortable;pas d'activité;0;0;0;0;0;0;0;0;0;0;haut débit ADSL;bien;bien;bien;bien;bien;bien;2;0;0;1;1;0;vous partagez et cela ne pose pas de problème;;;vous partagez et cela ne pose pas de problème;vous partagez et cela ne pose pas de problème;;non;;;non;non;;;;;;;;oui;Plusieurs fois par jour;Plusieurs fois par jour;Plusieurs fois par jour;Plusieurs fois par jour;moins d'1h;de 1h à 3h;Ne le fait toujours pas avec le numérique;Ne le fait toujours pas avec le numérique;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;Fait avec le numérique et c'est nouveau, ne le faisait pas avant;Ne fait pas cette tâche, non concerné;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;je sais le faire sans difficulté;je sais le faire sans difficulté;;;je sais le faire sans difficulté;;je sais le faire sans difficulté;;;;;;;non concerné;0;0;0;0;0;1;non;;;;;;;vous la rédigez manuellement ou vous en découpez une dans le jourl;non;ne se prononce pas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jamais;plus d'1h;plus d'1h;plus d'1h;plusieurs fois par jour;jamais;plutôt pas d'accord;plutôt pas d'accord;plutôt pas d'accord;d'être autant connecté;1,019156385
S6;29;1 - 2 000 à 4 999 habitants;autre commune multipolarisée;1;1;est resté stable;75 ans et plus;Femme;Femme - 75 ans et plus;CAP, BEP;en retraite;0;Agriculteurs exploitants;Retraités;;0;0;0;0;0;0;Vous avez une vie confortable;pas d'activité;;;;;;;;;;;pas de connexion internet;;;;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non c'est faux;Oui, c'est tout à fait vrai;Non c'est faux;Oui, c'est un peu vrai;Non c'est faux;Non c'est faux;vous la rédigez manuellement ou vous en découpez une dans le jourl;non concerné (pas de smartphone);ne se prononce pas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;plutôt pas d'accord;plutôt pas d'accord;plutôt pas d'accord;d'être autant connecté;1,071879334
S7;29;1 - 2 000 à 4 999 habitants;autre commune multipolarisée;3;1;est resté stable;45 à 59 ans;Homme;Homme - 45 à 59 ans;Bac, brevet professionnel ou équivalent;en emploi (éventuellement en chômage partiel);0;Artisans, commerçants, chefs d'entreprise;Artisans;;0;0;0;0;0;2;Vous avez une vie confortable;en emploi en télétravail;;;;;;;;;;;haut débit ADSL;très bien;très bien;moyen;très bien;très bien;moyen;2;2;2;1;1;1;vous partagez et cela ne pose pas de problème;vous partagez et cela ne pose pas de problème;vous en avez l'usage exclusif ou presque;vous en avez l'usage exclusif ou presque;vous partagez et cela ne pose pas de problème;vous partagez et cela ne pose pas de problème;non;non;non;non;non;non;;;;;;;oui;Moins souvent;Tous les jours ou presque;Tous les jours ou presque;Au moins une fois par semaine;jamais;jamais;Ne le fait toujours pas avec le numérique;Ne fait pas cette tâche, non concerné;Fait avec le numérique et le faisait déjà avant;Fait avec le numérique et le faisait déjà avant;Ne le fait pas avec le numérique;Ne le fait pas avec le numérique;Fait avec le numérique et le faisait déjà avant;Fait avec le numérique et le faisait déjà avant;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;Ne sait pas (Ne pas citer);;je sais le faire sans difficulté;je sais le faire sans difficulté;je sais le faire sans difficulté;j'éprouve quelques difficultés;je sais le faire sans difficulté;je sais le faire sans difficulté;je sais le faire sans difficulté;;;;;non ce n'est pas la raison;0;0;0;0;0;1;non;;;;;;;vous la rédigez manuellement ou vous en découpez une dans le jourl;non;de l'espoir;toutes les semaines;moins d'1 fois par semaine;restée stable;plusieurs fois par semaine;augmentée;plusieurs fois par semaine;restée stable;d'être moins efficace;moins de travail;tout à fait;toutes les semaines;oui très impliqué;;;;;;;;;;jamais;jamais;jamais;;;;;;;;;;;;;;pas utilisé par l'enseignt;pas utilisé par l'enseignt;pas utilisé par l'enseignt;pas utilisé par l'enseignt;pas utilisé par l'enseignt;;;;;;oui;non;;;;;;;non;;;;;;;;;;;;;non;;;;;;oui;0;0;0;0;0;0;1;0;1;0;0;0;0;avant le confinement, il ou elle avait les compétences numériques nécessaires;Jamais;moins de 10 mn;moins de 10 mn;non concerné;jamais;jamais;tout à fait d'accord;plutôt d'accord;pas du tout d'accord;d'être moins connecté;0,947731888
S6;29;1 - 2 000 à 4 999 habitants;commune de la couronne d'un grand pôle;2;2;a augmenté d'1 personne;18 à 29 ans;Femme;Femme - 18 à 29 ans;Bac +1 ou +2;en emploi (éventuellement en chômage partiel);0;Professions intermédiaires;Professions intermédiaires;;0;0;0;0;0;0;Vous avez une vie confortable;chomage complet du au confinement;1;0;0;0;0;0;0;0;0;0;ne sait pas quelle connexion;très bien;très bien;très bien;très bien;mal;mal;1;0;0;2;0;1;vous ne l'utilisez pas;;;vous en avez l'usage exclusif ou presque;;vous partagez et cela ne pose pas de problème;non;;;non;;non;;;;;;;oui;Plusieurs fois par jour;Plusieurs fois par jour;Plusieurs fois par jour;Plusieurs fois par jour;de 3 à 5h;de 3 à 5h;Ne le fait toujours pas avec le numérique;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;Ne le fait pas avec le numérique;Ne fait pas cette tâche, non concerné;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;j'éprouve quelques difficultés;;;;j'éprouve quelques difficultés;;je sais le faire sans difficulté;;;;;;;oui c'est la raison principale;1;0;0;0;0;0;oui;;;;;;;vous avez l’application sur votre smartphone;non;de la méfiance;jamais;jamais;;moins d'1 fois par semaine;augmentée;jamais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Très souvent;10 à 29 mn;10 à 29 mn;10 à 29 mn;jamais;souvent;tout à fait d'accord;pas du tout d'accord;pas du tout d'accord;d'être plus connecté que d'habitude;0,614123016
S7;29;0 - rurale;autre commune multipolarisée;2;2;est resté stable;60 à 74 ans;Femme;Femme - 60 à 74 ans;Bac, brevet professionnel ou équivalent;en retraite;1;Professions intermédiaires;Retraités;;0;0;0;0;0;0;Vous avez une vie confortable;pas d'activité;0;0;0;0;0;0;0;0;0;0;haut débit ADSL;bien;NSP, non concerné;NSP, non concerné;bien;NSP, non concerné;NSP, non concerné;1;1;1;1;1;0;vous partagez et cela ne pose pas de problème;vous en avez l'usage exclusif ou presque;vous en avez l'usage exclusif ou presque;vous ne l'utilisez pas;vous partagez et cela ne pose pas de problème;;non;non;non;non;non;;;;;;;;oui;Plusieurs fois par jour;Jamais ou non concerné par cette tâche;Au moins une fois par semaine;Jamais ou non concerné par cette tâche;jamais;de 1h à 3h;Ne le fait toujours pas avec le numérique;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;Ne le fait pas avec le numérique;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;je sais le faire sans difficulté;;;je sais le faire sans difficulté;;Ne sait pas (Ne pas citer);je sais le faire sans difficulté;;;;;;;non ce n'est pas la raison;0;0;0;0;0;1;non;;;;;;;vous la rédigez manuellement ou vous en découpez une dans le jourl;non;de l'espoir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jamais;non concerné;plus d'1h;plus d'1h;toute une journée et plus;jamais;pas du tout d'accord;plutôt d'accord;plutôt d'accord;d'être autant connecté;0,867348501
S6;29;2 - 5 000 à 9 999 habitants;autre commune multipolarisée;5;2;est resté stable;30 à 44 ans;Femme;Femme - 30 à 44 ans;CAP, BEP;en emploi (éventuellement en chômage partiel);1;Employés;Employés;;1;0;0;1;0;3;Vous vous en sortez;en emploi sur lieu de travail;0;0;0;0;0;0;0;0;0;0;haut débit ADSL;moyen;moyen;moyen;moyen;moyen;moyen;1;1;0;4+;1;3+;vous partagez et cela ne pose pas de problème;vous en avez l'usage exclusif ou presque;;vous en avez l'usage exclusif ou presque;vous partagez et cela ne pose pas de problème;vous partagez et cela ne pose pas de problème;non;non;;non;non;non;;;;;;;oui;Plusieurs fois par jour;Au moins une fois par semaine;Plusieurs fois par jour;Moins souvent;jamais;de 3 à 5h;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;Fait avec le numérique et le faisait déjà avant;Fait avec le numérique et le faisait déjà avant;Fait avec le numérique et le faisait déjà avant;Ne le fait pas avec le numérique;Fait avec le numérique et le faisait déjà avant;Fait avec le numérique et le faisait déjà avant;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;je sais le faire sans difficulté;;je sais le faire sans difficulté;je sais le faire sans difficulté;je sais le faire sans difficulté;Ne sait pas (Ne pas citer);je sais le faire sans difficulté;je sais le faire sans difficulté;je sais le faire sans difficulté;;;;;non ce n'est pas la raison;0;0;0;0;1;0;non;;;;;;;vous la rédigez manuellement ou vous en découpez une dans le jourl;oui;de l'espoir;jamais;jamais;;jamais;;jamais;;;;;;oui très impliqué;;;;habituel;jamais;jamais;non;;;ponctuel;jamais;jamais;oui;;;proposé par l'enseignt  et utilisé par l'enfant;proposé par l'enseignt  et utilisé par l'enfant;proposé par l'enseignt  et utilisé par l'enfant;pas utilisé par l'enseignt;proposé par l'enseignt  et utilisé par l'enfant;non;non;non;;non;proposé par l'enseignt  et utilisé par l'enfant;proposé par l'enseignt  et utilisé par l'enfant;proposé par l'enseignt  et utilisé par l'enfant;proposé par l'enseignt  et utilisé par l'enfant;pas utilisé par l'enseignt;oui;non;non;non;;non;non;;;;;;;non;;;;;;;;;;;;;non;;;;;;oui;0;0;0;0;0;0;1;1;1;0;0;0;0;avant le confinement, il ou elle avait les compétences numériques nécessaires;Très souvent;10 à 29 mn;moins de 10 mn;10 à 29 mn;jamais;jamais;pas du tout d'accord;plutôt d'accord;pas du tout d'accord;d'être autant connecté;1,015625889
S7;29;2 - 5 000 à 9 999 habitants;autre commune multipolarisée;3;3;est resté stable;45 à 59 ans;Femme;Femme - 45 à 59 ans;Bac +1 ou +2;en emploi (éventuellement en chômage partiel);0;Professions intermédiaires;Professions intermédiaires;;0;0;1;0;1;0;Vous avez une vie confortable;en emploi en télétravail;1;0;0;0;0;0;0;0;0;0;haut débit ADSL;bien;bien;bien;moyen;bien;bien;2;0;0;3;2+;1;vous en avez l'usage exclusif ou presque;;;vous en avez l'usage exclusif ou presque;vous partagez et cela ne pose pas de problème;vous partagez et cela ne pose pas de problème;non;;;non;non;non;;;;;;;oui;Tous les jours ou presque;Tous les jours ou presque;Tous les jours ou presque;Jamais ou non concerné par cette tâche;plus rarement;plus de 5h;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;Fait avec le numérique et c'est nouveau, ne le faisait pas avant;Ne fait pas cette tâche, non concerné;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;;;;;je sais le faire sans difficulté;;je sais le faire sans difficulté;;je sais le faire sans difficulté;;;;;non ce n'est pas la raison;0;0;0;0;0;1;non;;;;;;;non concerné (ne sort pas, ne prend pas d'attestation);oui;de l'espoir;moins d'1 fois par mois;jamais;;jamais;;tous les jours;restée stable;d'être aussi efficace;moins de travail;plutôt;jamais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rarement;30mn à 1h;30mn à 1h;moins d'1 mn;jamais;souvent;pas du tout d'accord;pas du tout d'accord;pas du tout d'accord;d'être autant connecté;0,887889951
S7;29;2 - 5 000 à 9 999 habitants;autre commune multipolarisée;2;2;est resté stable;75 ans et plus;Homme;Homme - 75 ans et plus;Bac +3 ou +4;en retraite;0;Professions intermédiaires;Retraités;;0;0;0;0;0;0;Vous avez une vie confortable;pas d'activité;0;0;0;0;0;0;0;0;0;0;haut débit ADSL;mal;très mal;moyen;très mal;très mal;mal;2;0;2;0;1;0;vous en avez l'usage exclusif ou presque;;vous en avez l'usage exclusif ou presque;;vous partagez et cela ne pose pas de problème;;non;;non;;non;;;;;;;;oui;Plusieurs fois par jour;Tous les jours ou presque;Plusieurs fois par jour;Au moins une fois par semaine;jamais;jamais;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;Ne le fait pas avec le numérique;Fait avec le numérique et c'est nouveau, ne le faisait pas avant;Ne le fait pas avec le numérique;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;je sais le faire sans difficulté;;;je sais le faire sans difficulté;je sais le faire sans difficulté;je sais le faire sans difficulté;je sais le faire sans difficulté;;je sais le faire sans difficulté;;;;;non ce n'est pas la raison;0;0;0;0;0;1;non;;;;;;;vous la téléchargez puis l’imprimez chez vous;non;de la méfiance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jamais;plus d'1h;plus d'1h;10 à 29 mn;plusieurs fois par jour;jamais;plutôt d'accord;pas du tout d'accord;pas du tout d'accord;d'être autant connecté;1,259485278
S7;29;0 - rurale;autre commune multipolarisée;5;2;est resté stable;45 à 59 ans;Homme;Homme - 45 à 59 ans;Bac +3 ou +4;en emploi (éventuellement en chômage partiel);0;Professions intermédiaires;Professions intermédiaires;;1;1;0;0;0;3;Vous avez une vie confortable;en emploi sur lieu de travail;1;0;0;0;0;0;0;0;0;0;haut débit ADSL;très bien;très bien;très bien;bien;bien;bien;3;1;0;2;1;1;vous en avez l'usage exclusif ou presque;vous partagez et cela ne pose pas de problème;;vous en avez l'usage exclusif ou presque;vous partagez et cela ne pose pas de problème;vous partagez et cela ne pose pas de problème;non;non;;non;non;non;;;;;;;oui;Plusieurs fois par jour;Jamais ou non concerné par cette tâche;Plusieurs fois par jour;Tous les jours ou presque;jamais;de 1h à 3h;Ne fait pas cette tâche, non concerné;Fait avec le numérique et le faisait déjà avant;Fait avec le numérique et le faisait déjà avant;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;Ne le fait pas avec le numérique;Fait avec le numérique et le faisait déjà avant;Ne le fait pas avec le numérique;Ne le fait pas avec le numérique;Ne fait pas cette tâche, non concerné;;je sais le faire sans difficulté;je sais le faire sans difficulté;je sais le faire sans difficulté;;je sais le faire sans difficulté;je sais le faire sans difficulté;je sais le faire sans difficulté;je sais le faire sans difficulté;;;;;non ce n'est pas la raison;0;1;0;0;0;1;non;;;;;;;vous avez récupéré des attestations déjà imprimées;oui;ne se prononce pas;moins d'1 fois par mois;plusieurs fois par semaine;augmentée;jamais;;plusieurs fois par semaine;augmentée;;;;;oui très impliqué;;;;habituel;jamais;jamais;non;;;ponctuel;jamais;jamais;non;;;proposé par l'enseignt  et utilisé par l'enfant;proposé par l'enseignt  et utilisé par l'enfant;proposé par l'enseignt  et utilisé par l'enfant;pas utilisé par l'enseignt;proposé par l'enseignt  et utilisé par l'enfant;non;non;non;;non;pas utilisé par l'enseignt;pas utilisé par l'enseignt;pas utilisé par l'enseignt;pas utilisé par l'enseignt;pas utilisé par l'enseignt;;;;;;non;non;;;;;;;non;;;;;;;;;;;;;oui;0;0;1;0;0;non;1;0;1;0;0;0;0;1;1;0;0;0;0;avant le confinement, il ou elle avait un niveau numérique conveble et a progressé depuis;Jamais;plus d'1h;30mn à 1h;non concerné;jamais;jamais;plutôt pas d'accord;plutôt d'accord;plutôt pas d'accord;d'être plus connecté que d'habitude;1,043293108
S7;29;0 - rurale;autre commune multipolarisée;4;3;est resté stable;45 à 59 ans;Femme;Femme - 45 à 59 ans;Bac +3 ou +4;en emploi (éventuellement en chômage partiel);1;Professions intermédiaires;Professions intermédiaires;;0;0;1;0;1;1;Vous avez une vie confortable;en emploi sur lieu de travail;1;0;0;0;0;0;0;0;0;0;haut débit ADSL;très bien;bien;moyen;bien;bien;moyen;2;0;0;3;1;1;vous ne l'utilisez pas;;;vous en avez l'usage exclusif ou presque;vous partagez et cela ne pose pas de problème;vous ne l'utilisez pas;non;;;non;non;non;;;;;;;oui;Au moins une fois par semaine;Plusieurs fois par jour;Plusieurs fois par jour;Au moins une fois par semaine;jamais;de 1h à 3h;Fait avec le numérique et c'est nouveau, ne le faisait pas avant;Ne fait pas cette tâche, non concerné;Fait avec le numérique et le faisait déjà avant;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;Fait avec le numérique et le faisait déjà avant;Fait avec le numérique et le faisait déjà avant;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;j'éprouve quelques difficultés;;je sais le faire sans difficulté;je sais le faire sans difficulté;;;je sais le faire sans difficulté;je sais le faire sans difficulté;je sais le faire sans difficulté;;;;;non concerné;0;0;0;0;0;1;oui;;;;;;;vous avez récupéré des attestations déjà imprimées;oui;ne se prononce pas;jamais;jamais;;moins d'1 fois par semaine;augmentée;plusieurs fois par semaine;augmentée;;;;;oui très impliqué;;;;;;;;;;ponctuel;jamais;ponctuel;oui;;oui;;;;;;;;;;;pas utilisé par l'enseignt;pas utilisé par l'enseignt;pas utilisé par l'enseignt;pas utilisé par l'enseignt;pas utilisé par l'enseignt;;;;;;oui;non;;;;;;;oui;0;0;0;1;0;0;oui en partie;1;0;0;0;0;non;;;;;;non;0;0;0;0;0;0;1;0;1;0;0;0;0;avant le confinement, il ou elle avait quelques bases élémentaires mais a encore des difficultés;Jamais;10 à 29 mn;10 à 29 mn;10 à 29 mn;jamais;jamais;pas du tout d'accord;plutôt d'accord;pas du tout d'accord;d'être plus connecté que d'habitude;0,887889951
S7;29;1 - 2 000 à 4 999 habitants;commune isolée hors influence des pôles;2;2;est resté stable;60 à 74 ans;Femme;Femme - 60 à 74 ans;Brevet des collèges et en dessous;en retraite;0;Employés;Retraités;;0;0;0;0;0;0;Vous trouvez la vie difficile;pas d'activité;0;0;0;0;0;0;0;0;0;0;haut débit ADSL;bien;très bien;très bien;bien;bien;bien;1;1;0;2;1;0;vous en avez l'usage exclusif ou presque;vous ne l'utilisez pas;;vous en avez l'usage exclusif ou presque;vous en avez l'usage exclusif ou presque;;non;non;;non;non;;;;;;;;oui;Tous les jours ou presque;Tous les jours ou presque;Tous les jours ou presque;Moins souvent;jamais;de 3 à 5h;Ne le fait toujours pas avec le numérique;Ne le fait toujours pas avec le numérique;Ne fait pas cette tâche, non concerné;Ne fait pas cette tâche, non concerné;Fait avec le numérique et c'est nouveau, ne le faisait pas avant;Ne le fait pas avec le numérique;Fait avec le numérique et le faisait déjà avant;Fait avec le numérique et le faisait déjà avant;Fait avec le numérique et le faisait déjà avant;Ne fait pas cette tâche, non concerné;je sais le faire sans difficulté;je sais le faire sans difficulté;;;je sais le faire sans difficulté;je sais le faire sans difficulté;je sais le faire sans difficulté;je sais le faire sans difficulté;je sais le faire sans difficulté;;;;;non ce n'est pas la raison;0;0;0;0;0;1;non;;;;;;;vous la rédigez manuellement ou vous en découpez une dans le jourl;oui;ne se prononce pas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jamais;plus d'1h;plus d'1h;30mn à 1h;jamais;jamais;tout à fait d'accord;pas du tout d'accord;plutôt pas d'accord;d'être plus connecté que d'habitude;0,867348501
